Countess,CellNet
2.23E+07,1.31E+07
6.78E+07,3.48E+07
3.22E+07,1.82E+07
8.19E+06,8.74E+06
2.83E+07,2.91E+07
2.31E+07,2.28E+07
5.56E+06,4.74E+06
2.49E+06,1.97E+07
2.45E+07,3.32E+07
3.10E+07,3.63E+07
1.34E+07,1.32E+07
1.32E+07,1.63E+07
3.42E+07,3.90E+07
3.42E+07,2.86E+07
3.65E+07,3.88E+07
3.60E+07,3.32E+07
1.37E+07,1.41E+07
1.21E+07,1.35E+07
1.13E+07,1.41E+07
1.40E+07,1.22E+07
1.69E+07,1.69E+07
2.12E+07,2.51E+07
6.34E+07,4.39E+07
6.05E+07,3.99E+07
3.50E+07,2.47E+07
3.04E+07,2.73E+07
2.03E+07,2.67E+07
1.98E+07,2.66E+07
2.26E+07,2.82E+07
2.20E+07,2.85E+07
1.88E+07,2.42E+07
2.07E+07,2.74E+07
2.11E+07,2.81E+07
1.61E+07,1.94E+07
1.42E+07,2.18E+07
1.58E+07,1.78E+07
1.41E+07,1.51E+07
1.45E+07,1.48E+07
1.34E+07,1.48E+07
1.12E+07,1.00E+07
1.38E+07,1.44E+07
1.60E+07,1.37E+07
6.07E+06,6.07E+06
5.86E+06,6.43E+06
7.16E+06,5.76E+06
2.26E+07,2.38E+07
2.17E+07,2.52E+07
2.14E+07,1.95E+07
1.91E+07,1.94E+07
2.22E+07,2.17E+07
2.11E+07,1.94E+07
6.62E+06,9.13E+06
8.06E+06,8.63E+06
9.20E+06,1.22E+07
2.20E+07,2.40E+07
2.51E+07,1.95E+07
2.32E+07,2.35E+07
2.79E+07,2.32E+07
2.43E+07,2.46E+07
2.66E+07,2.46E+07
2.54E+07,2.52E+07
1.98E+07,2.15E+07
1.99E+07,2.34E+07
3.53E+07,3.24E+07
3.17E+07,2.89E+07
3.08E+07,2.81E+07
2.96E+07,1.99E+07
2.90E+07,2.89E+07
2.77E+07,2.88E+07
3.32E+07,3.11E+07
2.98E+07,3.28E+07
3.68E+07,3.15E+07
2.50E+07,2.60E+07
3.13E+07,3.17E+07
3.16E+07,3.35E+07
3.20E+07,3.47E+07
2.90E+07,3.38E+07
3.31E+07,2.81E+07
3.03E+07,2.29E+07
3.38E+07,3.52E+07
2.86E+07,3.30E+07
3.12E+07,3.16E+07
2.80E+07,3.03E+07
3.43E+07,3.41E+07
3.09E+07,3.42E+07
3.67E+07,3.37E+07
3.73E+07,2.97E+07
3.14E+07,3.25E+07
2.99E+07,2.97E+07
2.95E+07,3.33E+07
3.03E+07,3.31E+07
2.65E+07,3.23E+07
2.94E+07,2.86E+07
3.73E+07,3.38E+07
2.15E+07,3.10E+07
2.80E+07,2.99E+07
3.14E+07,3.16E+07
3.36E+07,4.12E+07
3.61E+07,3.53E+07
1.38E+07,6.50E+06
1.87E+07,8.80E+06
3.56E+06,5.17E+06
2.10E+07,1.23E+07
